Entity,Year,Cadmium (BGS (2016)),Cobalt (BGS (2016)),Diamond (BGS (2016)),Graphite (BGS (2016)),Lithium (BGS (2016)),Mercury (BGS (2016)),Platinum (BGS (2016)),Uranium (BGS (2016)),Silicon (BGS (2016))
Niger,2010,,,,,,,,4198,
Niger,2011,,,,,,,,4159,
Niger,2012,,,,,,,,4821,
Niger,2013,,,,,,,,4277,
Niger,2014,,,,,,,,4156,
Niger,2015,,,,,,,,4116,
Pakistan,1993,,,,,,,,23,
Pakistan,1994,,,,,,,,23,
Pakistan,1995,,,,,,,,23,
Pakistan,1996,,,,,,,,23,
Pakistan,1997,,,,,,,,23,
Pakistan,1998,,,,,,,,23,
Pakistan,1999,,,,,,,,23,
Pakistan,2000,,,,,,,,23,
Pakistan,2001,,,,,,,,46,
Pakistan,2002,,,,,,,,38,
Pakistan,2003,,,,,,,,45,
Pakistan,2004,,,,,,,,45,
Pakistan,2005,,,,,,,,45,
Pakistan,2006,,,,,,,,45,
Pakistan,2007,,,,,,,,45,
Pakistan,2008,,,,,,,,45,
Pakistan,2009,,,,,,,,50,
Pakistan,2010,,,,,,,,45,
Pakistan,2011,,,,,,,,45,
Pakistan,2012,,,,,,,,45,
Pakistan,2013,,,,,,,,45,
Pakistan,2014,,,,,,,,45,
Pakistan,2015,,,,,,,,45,
Portugal,1970,,,,,,,,80,
Portugal,1971,,,,,,,,80,
Portugal,1972,,,,,,,,81,
Portugal,1973,,,,,,,,73,
Portugal,1974,,,,,,,,92,
Portugal,1975,,,,,,,,115,
Portugal,1976,,,,,,,,86,
Portugal,1977,,,,,,,,94,
Portugal,1978,,,,,,,,86,
Portugal,1979,,,,,,,,102,
Portugal,1980,,,,,,,,72,
Portugal,1981,,,,,,,,90,
Portugal,1982,,,,,,,,100,
Portugal,1983,,,,,,,,93,
Portugal,1984,,,,,,,,103,
Portugal,1985,,,,,,,,105,
Portugal,1986,,,,,,,,99,
Portugal,1987,,,,,,,,126,
Portugal,1988,,,,,,,,142,
Portugal,1989,,,,,,,,129,
Portugal,1990,,,,,,,,111,
Portugal,1991,,,,,,,,27,
Portugal,1992,,,,,,,,29,
Portugal,1993,,,,,,,,32,
Portugal,1994,,,,,,,,24,
Portugal,1995,,,,,,,,19,
Portugal,1996,,,,,,,,14,
Portugal,1997,,,,,,,,17,
Portugal,1998,,,,,,,,19,
Portugal,1999,,,,,,,,10,
Portugal,2000,,,,,,,,13,
Portugal,2001,,,,,,,,4,
Portugal,2002,,,,,,,,2,
Romania,1993,,,,,,,,120,
Romania,1994,,,,,,,,120,
Romania,1995,,,,,,,,100,
Romania,1996,,,,,,,,100,
Romania,1997,,,,,,,,100,
Romania,1998,,,,,,,,100,
Romania,1999,,,,,,,,100,
Romania,2000,,,,,,,,50,
Romania,2001,,,,,,,,85,
Romania,2002,,,,,,,,90,
Romania,2003,,,,,,,,90,
Romania,2004,,,,,,,,90,
Romania,2005,,,,,,,,90,
Romania,2006,,,,,,,,90,
Romania,2007,,,,,,,,77,
Romania,2008,,,,,,,,77,
Romania,2009,,,,,,,,75,
Romania,2010,,,,,,,,77,
Romania,2011,,,,,,,,77,
Romania,2012,,,,,,,,90,
Romania,2013,,,,,,,,80,
Romania,2014,,,,,,,,77,
Romania,2015,,,,,,,,77,
Russia,1970,,,7850000,,,,,,
Russia,1971,,,8800000,,,,,,
Russia,1972,,,9200000,,,,,,
Russia,1973,,,9500000,,,,,,
Russia,1974,,,9500000,,,,,,
Russia,1975,,,9700000,,,,,,
Russia,1976,,,9900000,,,,,,
Russia,1977,,,10300000,,,,,,
Russia,1978,,,10550000,,,,,,
Russia,1979,,,10700000,,,,,,
Russia,1980,,,10850000,,,,,,
Russia,1981,,,10600000,,,,,,
Russia,1982,,,10600000,,,,,,
Russia,1983,,,10700000,,,,,0,
Russia,1984,,,10700000,,,,,0,
Russia,1985,,,10800000,,,,,0,
Russia,1986,,,14800000,,,,,0,
Russia,1987,,,14800000,,,,,0,
Russia,1988,,,15000000,,,,,0,
Russia,1989,,,15000000,,,,,0,
Russia,1990,,,24000000,,,,,10500,
Russia,1991,,,20000000,,,,,10500,
Russia,1992,,,18000000,,,,,2640,
Russia,1993,,,16000000,,,,,2399,
Russia,1994,,,16300000,,,,,2968,
Russia,1995,,,16900000,,,,,2250,
Russia,1996,,,19200000,,,,,2000,
Russia,1997,,,19400000,,,,,2000,
Russia,1998,,,19800000,,,,,2000,
Russia,1999,,,16200000,,,,,2000,
Russia,2000,,,20500000,,,,,2000,
Russia,2001,,,20500000,,,,,2500,
Russia,2002,,,20000000,,,,,2900,
Russia,2003,,,33020000,,,,,3150,
Russia,2004,,,38865770,,,,,3280,
Russia,2005,,,38000990,,,,,3431,
Russia,2006,,,38360810,,,,,3262,
Russia,2007,,,38291200,,,,,3413,
Russia,2008,,,36925150,,,,,3521,
Russia,2009,,,34759400,,,,,3565,
Russia,2010,,,34856600,,,,,3563,
Russia,2011,,,35139800,,,,,2993,
Russia,2012,,,34927650,,,,,2862,
Russia,2013,,,37884140,,,,,3135,
Russia,2014,,,38303500,,,,,2990,
Russia,2015,,,41912390,,,,,3055,
Serbia and Montenegro,1981,,,,,,,,0,
Serbia and Montenegro,1982,,,,,,,,0,
Serbia and Montenegro,1983,,,,,,,,0,
Serbia and Montenegro,1984,,,,,,,,40,
Serbia and Montenegro,1985,,,,,,,,29,
Serbia and Montenegro,1986,,,,,,,,68,
Serbia and Montenegro,1987,,,,,,,,70,
Serbia and Montenegro,1988,,,,,,,,79,
Serbia and Montenegro,1989,,,,,,,,85,
Serbia and Montenegro,1990,,,,,,,,53,
Serbia and Montenegro,1991,,,,,,,,5,
Sierra Leone,1970,,,2048264,,,,,,
Sierra Leone,1971,,,1944174,,,,,,
Sierra Leone,1972,,,1800301,,,,,,
Sierra Leone,1973,,,1354775,,,,,,
Sierra Leone,1974,,,1716230,,,,,,
Sierra Leone,1975,,,1377191,,,,,,
Sierra Leone,1976,,,999441,,,,,,
Sierra Leone,1977,,,746290,,,,,,
Sierra Leone,1978,,,797043,,,,,,
Sierra Leone,1979,,,855164,,,,,,
Sierra Leone,1980,,,592018,,,,,,
Sierra Leone,1981,,,305356,,,,,,
Sierra Leone,1982,,,290000,,,,,,
Sierra Leone,1983,,,368598,,,,,,
Sierra Leone,1984,,,345000,,,,,,
Sierra Leone,1985,,,349000,,,,,,
Sierra Leone,1986,,,330000,,,,,,
Sierra Leone,1987,,,310000,,,,,,
Sierra Leone,1988,,,17492,,,,,,
Sierra Leone,1989,,,128967,,,,,,
Sierra Leone,1990,,,78000,,,,,,
Sierra Leone,1991,,,251534,,,,,,
Sierra Leone,1992,,,344082,,,,,,
Sierra Leone,1993,,,200300,,,,,,
Sierra Leone,1994,,,255000,,,,,,
Sierra Leone,1995,,,213600,,,,,,
Sierra Leone,1996,,,270092,,,,,,
Sierra Leone,1997,,,400000,,,,,,
Sierra Leone,1998,,,250000,,,,,,
Sierra Leone,1999,,,600000,,,,,,
Sierra Leone,2000,,,350000,,,,,,
Sierra Leone,2001,,,224188,,,,,,
Sierra Leone,2002,,,351859,,,,,,
Sierra Leone,2003,,,506819,,,,,,
Sierra Leone,2004,,,693104,,,,,,
Sierra Leone,2005,,,668807,,,,,,
Sierra Leone,2006,,,582324,,,,,,
Sierra Leone,2007,,,603698,,,,,,
Sierra Leone,2008,,,371290,,,,,,
Sierra Leone,2009,,,400480,,,,,,
Sierra Leone,2010,,,437552,,,,,,
Sierra Leone,2011,,,355890,,,,,,
Sierra Leone,2012,,,532560,,,,,,
Sierra Leone,2013,,,604740,,,,,,
Sierra Leone,2014,,,594422,,,,,,
Sierra Leone,2015,,,500050,,,,,,
South Africa,1970,,,8111533,,,,,3168,
South Africa,1971,,,7031249,,,,,3200,
South Africa,1972,,,7394974,,,,,3077,
South Africa,1973,,,7565374,,,,,2623,
South Africa,1974,,,7510075,,,,,2712,
South Africa,1975,,,7295133,,,,,2488,
South Africa,1976,,,7022770,,,,,2788,
South Africa,1977,,,7643291,,,,,3368,
South Africa,1978,,,7726605,,,,,3975,
South Africa,1979,,,8384332,,,,,4780,
South Africa,1980,,,8520328,,,,,6186,
South Africa,1981,,,9525876,,,,,6135,
South Africa,1982,,,9152886,,,,,5792,
South Africa,1983,,,10311778,,,,,6039,
South Africa,1984,,,10120712,,,,,5732,
South Africa,1985,,,10205936,,,,,4877,
South Africa,1986,,,10226963,,,,,4630,
South Africa,1987,,,9050992,,,,,3965,
South Africa,1988,,,8504016,,,,,3886,
South Africa,1989,,,9115880,,,,,2931,
South Africa,1990,,,8708231,,,,,2438,
South Africa,1991,,,8431389,,,,,1725,
South Africa,1992,,,10177283,,,,,1671,
South Africa,1993,,,10177283,,,,,1703,
South Africa,1994,,,10853653,,,,,1616,
South Africa,1995,,,9682744,,,,,1443,
South Africa,1996,,,9946750,,,,,1447,
South Africa,1997,,,10041380,,,,,1122,
South Africa,1998,,,10704628,,,,,965,
South Africa,1999,,,10014815,,,,,919,
South Africa,2000,,,10789976,,,,,861,
South Africa,2001,,,11162630,,,,,903,
South Africa,2002,,,10882614,,,,,846,
South Africa,2003,,,12673379,,,,,758,
South Africa,2004,,,14294662,,,,,752,
South Africa,2005,,,15775720,,,,,674,
South Africa,2006,,,15152801,,,,,542,
South Africa,2007,,,15247122,,,,,525,
South Africa,2008,,,12901018,,,,,555,
South Africa,2009,,,6118974,,,,,533,
South Africa,2010,,,8870967,,,,,579,
South Africa,2011,,,7046644,,,,,556,
South Africa,2012,,,7245403,,,,,467,
South Africa,2013,,,8168113,,,,,531,
South Africa,2014,,,8060373,,,,,566,
South Africa,2015,,,8232627,,,,,448,
Spain,1970,,,,,,,,71,
Spain,1971,,,,,,,,125,
Spain,1972,,,,,,,,116,
Spain,1973,,,,,,,,79,
Spain,1974,,,,,,,,62,
Spain,1975,,,,,,,,147,
Spain,1976,,,,,,,,192,
Spain,1977,,,,,,,,163,
Spain,1978,,,,,,,,153,
Spain,1979,,,,,,,,162,
Spain,1980,,,,,,,,167,
Spain,1981,,,,,,,,151,
Spain,1982,,,,,,,,155,
Spain,1983,,,,,,,,175,
Spain,1984,,,,,,,,191,
Spain,1985,,,,,,,,201,
Spain,1986,,,,,,,,214,
Spain,1987,,,,,,,,223,
Spain,1988,,,,,,,,228,
Spain,1989,,,,,,,,228,
Spain,1990,,,,,,,,164,
Spain,1991,,,,,,,,195,
Spain,1992,,,,,,,,187,
Spain,1993,,,,,,,,183,
Spain,1994,,,,,,,,255,
Spain,1995,,,,,,,,254,
Spain,1996,,,,,,,,254,
Spain,1997,,,,,,,,254,
Spain,1998,,,,,,,,255,
Spain,1999,,,,,,,,255,
Spain,2000,,,,,,,,251,
Spain,2001,,,,,,,,0,
Spain,2002,,,,,,,,0,
Swaziland,1980,,,0,,,,,,
Swaziland,1981,,,0,,,,,,
Swaziland,1982,,,0,,,,,,
Swaziland,1983,,,0,,,,,,
Swaziland,1984,,,16837,,,,,,
Swaziland,1985,,,21128,,,,,,
Swaziland,1986,,,39144,,,,,,
Swaziland,1987,,,40000,,,,,,
Swaziland,1988,,,72676,,,,,,
Swaziland,1989,,,55264,,,,,,
Swaziland,1990,,,42488,,,,,,
Swaziland,1991,,,57420,,,,,,
Swaziland,1992,,,50547,,,,,,
Swaziland,1993,,,61686,,,,,,
Swaziland,1994,,,76100,,,,,,
Swaziland,1995,,,75000,,,,,,
Swaziland,1996,,,75000,,,,,,
Tanzania,1970,,,708145,,,,,,
Tanzania,1971,,,837190,,,,,,
Tanzania,1972,,,652045,,,,,,
Tanzania,1973,,,501459,,,,,,
Tanzania,1974,,,489569,,,,,,
Tanzania,1975,,,447800,,,,,,
Tanzania,1976,,,431601,,,,,,
Tanzania,1977,,,507294,,,,,,
Tanzania,1978,,,295117,,,,,,
Tanzania,1979,,,341912,,,,,,
Tanzania,1980,,,269876,,,,,,
Tanzania,1981,,,236500,,,,,,
Tanzania,1982,,,297000,,,,,,
Tanzania,1983,,,215000,,,,,,
Tanzania,1984,,,277000,,,,,,
Tanzania,1985,,,255736,,,,,,
Tanzania,1986,,,173972,,,,,,
Tanzania,1987,,,122824,,,,,,
Tanzania,1988,,,85892,,,,,,
Tanzania,1989,,,75885,,,,,,
Tanzania,1990,,,74480,,,,,,
Tanzania,1991,,,99762,,,,,,
Tanzania,1992,,,67304,,,,,,
Tanzania,1993,,,40847,,,,,,
Tanzania,1994,,,25500,,,,,,
Tanzania,1995,,,49538,,,,,,
Tanzania,1996,,,126700,,,,,,
Tanzania,1997,,,123090,,,,,,
Tanzania,1998,,,97830,,,,,,
Tanzania,1999,,,234800,,,,,,
Tanzania,2000,,,354388,,,,,,
Tanzania,2001,,,254271,,,,,,
Tanzania,2002,,,239761,,,,,,
Tanzania,2003,,,236382,,,,,,
Tanzania,2004,,,303920,,,,,,
Tanzania,2005,,,219640,,,,,,
Tanzania,2006,,,272204,,,,,,
Tanzania,2007,,,282786,,,,,,
Tanzania,2008,,,237676,,,,,,
Tanzania,2009,,,181874,,,,,,
Tanzania,2010,,,80498,,,,,,
Tanzania,2011,,,40691,,,,,,
Tanzania,2012,,,127174,,,,,,
Tanzania,2013,,,179633,,,,,,
Tanzania,2014,,,252875,,,,,,
Tanzania,2015,,,216482,,,,,,
Togo,2003,,,87200,,,,,,
Togo,2004,,,123106,,,,,,
Togo,2005,,,11773,,,,,,
Togo,2006,,,25368,,,,,,
Togo,2007,,,13452,,,,,,
Togo,2008,,,8787,,,,,,
Togo,2009,,,125,,,,,,
Togo,2010,,,96,,,,,,
Togo,2011,,,71,,,,,,
Togo,2012,,,456,,,,,,
Togo,2013,,,24,,,,,,
Togo,2014,,,23,,,,,,
Togo,2015,,,46,,,,,,
Ukraine,1992,,,,,,,,500,
Ukraine,1993,,,,,,,,500,
Ukraine,1994,,,,,,,,500,
Ukraine,1995,,,,,,,,500,
Ukraine,1996,,,,,,,,500,
Ukraine,1997,,,,,,,,500,
Ukraine,1998,,,,,,,,500,
Ukraine,1999,,,,,,,,500,
Ukraine,2000,,,,,,,,500,
Ukraine,2001,,,,,,,,750,
Ukraine,2002,,,,,,,,800,
Ukraine,2003,,,,,,,,800,
Ukraine,2004,,,,,,,,800,
Ukraine,2005,,,,,,,,800,
Ukraine,2006,,,,,,,,800,
Ukraine,2007,,,,,,,,846,
Ukraine,2008,,,,,,,,800,
Ukraine,2009,,,,,,,,840,
Ukraine,2010,,,,,,,,850,
Ukraine,2011,,,,,,,,890,
Ukraine,2012,,,,,,,,960,
Ukraine,2013,,,,,,,,922,
Ukraine,2014,,,,,,,,926,
Ukraine,2015,,,,,,,,1200,
United States,1970,,,,,,,,9825,
United States,1971,,,,,,,,9932,
United States,1972,,,,,,,,9924,
United States,1973,,,,,,,,10182,
United States,1974,,,,,,,,8868,
United States,1975,,,,,,,,8900,
United States,1976,,,,,,,,9750,
United States,1977,,,,,,,,11360,
United States,1978,,,,,,,,14250,
United States,1979,,,,,,,,14400,
United States,1980,,,,,,,,16800,
United States,1981,,,,,,,,14800,
United States,1982,,,,,,,,10300,
United States,1983,,,,,,,,8200,
United States,1984,,,,,,,,5700,
United States,1985,,,,,,,,4300,
United States,1986,,,,,,,,5200,
United States,1987,,,,,,,,5000,
United States,1988,,,,,,,,5051,
United States,1989,,,,,,,,5308,
United States,1990,,,,,,,,3430,
United States,1991,,,,,,,,3059,
United States,1992,,,,,,,,2171,
United States,1993,,,,,,,,1192,
United States,1994,,,,,,,,1289,
United States,1995,,,,,,,,2324,
United States,1996,,,,,,,,2420,
United States,1997,,,,,,,,2171,
United States,1998,,,,,,,,1810,
United States,1999,,,,,,,,1773,
United States,2000,,,,,,,,1522,
United States,2001,,,,,,,,1015,
United States,2002,,,,,,,,901,
United States,2003,,,,,,,,770,
United States,2004,,,,,,,,878,
United States,2005,,,,,,,,1034,
United States,2006,,,,,,,,1581,
United States,2007,,,,,,,,1746,
United States,2008,,,,,,,,1503,
United States,2009,,,,,,,,1428,
United States,2010,,,,,,,,1628,
United States,2011,,,,,,,,1537,
United States,2012,,,,,,,,1596,
United States,2013,,,,,,,,1794,
United States,2014,,,,,,,,1884,
United States,2015,,,,,,,,1287,
Uzbekistan,1992,,,,,,,,2680,
Uzbekistan,1993,,,,,,,,2600,
Uzbekistan,1994,,,,,,,,2015,
Uzbekistan,1995,,,,,,,,1800,
Uzbekistan,1996,,,,,,,,1459,
Uzbekistan,1997,,,,,,,,1764,
Uzbekistan,1998,,,,,,,,2000,
Uzbekistan,1999,,,,,,,,2130,
Uzbekistan,2000,,,,,,,,2350,
Uzbekistan,2001,,,,,,,,1962,
Uzbekistan,2002,,,,,,,,1860,
Uzbekistan,2003,,,,,,,,1770,
Uzbekistan,2004,,,,,,,,2035,
Uzbekistan,2005,,,,,,,,2629,
Uzbekistan,2006,,,,,,,,2270,
Uzbekistan,2007,,,,,,,,2320,
Uzbekistan,2008,,,,,,,,2338,
Uzbekistan,2009,,,,,,,,2429,
Uzbekistan,2010,,,,,,,,2400,
Uzbekistan,2011,,,,,,,,3000,
Uzbekistan,2012,,,,,,,,3000,
Uzbekistan,2013,,,,,,,,2400,
Uzbekistan,2014,,,,,,,,2400,
Uzbekistan,2015,,,,,,,,2385,
Venezuela,1970,,,508700,,,,,,
Venezuela,1971,,,499020,,,,,,
Venezuela,1972,,,456300,,,,,,
Venezuela,1973,,,780829,,,,,,
Venezuela,1974,,,1199973,,,,,,
Venezuela,1975,,,1060000,,,,,,
Venezuela,1976,,,851000,,,,,,
Venezuela,1977,,,687115,,,,,,
Venezuela,1978,,,755869,,,,,,
Venezuela,1979,,,802646,,,,,,
Venezuela,1980,,,665721,,,,,,
Venezuela,1981,,,490426,,,,,,
Venezuela,1982,,,435272,,,,,,
Venezuela,1983,,,278915,,,,,,
Venezuela,1984,,,272922,,,,,,
Venezuela,1985,,,215272,,,,,,
Venezuela,1986,,,211731,,,,,,
Venezuela,1987,,,112812,,,,,,
Venezuela,1988,,,128405,,,,,,
Venezuela,1989,,,213264,,,,,,
Venezuela,1990,,,336976,,,,,,
Venezuela,1991,,,337022,,,,,,
Venezuela,1992,,,486935,,,,,,
Venezuela,1993,,,410750,,,,,,
Venezuela,1994,,,582522,,,,,,
Venezuela,1995,,,296116,,,,,,
Venezuela,1996,,,172016,,,,,,
Venezuela,1997,,,284208,,,,,,
Venezuela,1998,,,96811,,,,,,
Venezuela,1999,,,95144,,,,,,
Venezuela,2000,,,109597,,,,,,
Venezuela,2001,,,52804,,,,,,
Venezuela,2002,,,141463,,,,,,
Venezuela,2003,,,38489,,,,,,
Venezuela,2004,,,40036,,,,,,
Venezuela,2005,,,55154,,,,,,
Venezuela,2006,,,27598,,,,,,
Venezuela,2007,,,14502,,,,,,
Venezuela,2008,,,9381,,,,,,
Venezuela,2009,,,7730,,,,,,
Venezuela,2010,,,2099,,,,,,
Zimbabwe,1988,,,0,,,,,,
Zimbabwe,1989,,,0,,,,,,
Zimbabwe,1990,,,0,,,,,,
Zimbabwe,1991,,,0,,,,,,
Zimbabwe,1992,,,40654,,,,,,
Zimbabwe,1993,,,43850,,,,,,
Zimbabwe,1994,,,173588,,,,,,
Zimbabwe,1995,,,204416,,,,,,
Zimbabwe,1996,,,437266,,,,,,
Zimbabwe,1997,,,421307,,,,,,
Zimbabwe,1998,,,28732,,,,,,
Zimbabwe,1999,,,42578,,,,,,
Zimbabwe,2000,,,23028,,,,,,
Zimbabwe,2001,,,0,,,,,,
Zimbabwe,2002,,,0,,,,,,
Zimbabwe,2003,,,0,,,,,,
Zimbabwe,2004,,,44454,,,,,,
Zimbabwe,2005,,,243928,,,,,,
Zimbabwe,2006,,,1046025,,,,,,
Zimbabwe,2007,,,695016,,,,,,
Zimbabwe,2008,,,797198,,,,,,
Zimbabwe,2009,,,963502,,,,,,
Zimbabwe,2010,,,8435224,,,,,,
Zimbabwe,2011,,,8502648,,,,,,
Zimbabwe,2012,,,12060163,,,,,,
Zimbabwe,2013,,,10411818,,,,,,
Zimbabwe,2014,,,4771637,,,,,,
Zimbabwe,2015,,,3490881,,,,,,
